No.,Country,Matches,Goals,Fouls,Passes,Corners
1,Argentina,7,15,100,"4,323",20
2,Australia,4,4,52,"1,530",8
3,Belgium,3,1,30,"1,764",17
4,Brazil,5,8,63,"2,965",35
5,Cameroon,3,4,32,"1,133",12
6,Canada,3,2,33,"1,426",12
7,Costa Rica,3,3,24,"1,010",1
8,Croatia,7,8,90,"4,152",28
9,Denmark,3,1,28,"1,787",21
10,Ecuador,3,4,50,"1,333",11
11,England,5,13,53,"3,024",25
12,France ,7,16,69,"3,659",36
13,Germany,3,6,26,"1,828",25
14,Ghana,3,5,46,"1,139",13
15,Iran,3,4,38,979,19
16,Japan,4,5,58,"1,603",8
17,Mexico,3,2,45,"1,832",16
18,Morocco,7,6,51,"1,283",16
19,Netherlands,5,10,96,"2,649",12
20,Poland,4,3,87,"2,773",11
21,Portugal,5,12,47,"1,392",28
22,Qatar,3,1,55,"2,911",9
23,Saudi Arabia,3,3,31,"1,292",8
24,Senegal,4,5,56,"1,090",21
25,Serbia,3,5,48,"1,522",9
26,South Korea,4,5,43,"1,375",24
27,Spain,4,9,41,"3,756",17
28,Switzerland,4,5,53,"1,899",20
29,Tunisia,3,1,40,"1,183",21
30,Uruguay,3,2,34,"1,384",8
31,USA,4,3,45,"2,031",22
32,Wales,3,1,35,"1,233",6
